file_1_file_1_g3875	Arrestin (or S-antigen), N-terminal domain	ARRB1
file_1_file_1_g3877	cwf21	U2SURP
file_1_file_1_g3878	Kinesin motor, catalytic domain. ATPase.	KIF21B
file_1_file_1_g3879	Kinesin motor, catalytic domain. ATPase.	KIF21B
file_1_file_1_g3881	Reverse transcriptase (RNA-dependent DNA polymerase)	-
file_1_file_1_g3882	Limb expression 1	LIX1L
file_1_file_1_g3885	GTPase activity	-
file_1_file_1_g3886	Hydrolase activity	NUDT19
file_1_file_1_g3887	Oxidative-stress-responsive kinase 1 C-terminal domain	STK39
file_1_file_1_g3889	FERM adjacent (FA)	FRMD5
file_1_file_1_g3890	Elongation factor 1-alpha	-
file_1_file_1_g3891	Broad-specificity nucleoside monophosphate (NMP) kinase that catalyzes the reversible transfer of the terminal phosphate group between nucleoside triphosphates and monophosphates. May have a role in nuclear energy homeostasis. Has also ATPase activity	AK6
file_1_file_1_g3892	Thioredoxin-like domain	PDIA3
file_1_file_1_g3893	Aldose 1-epimerase	-
file_1_file_1_g3894	Mitochondrial 28S ribosomal protein S31	MRPS31
file_1_file_1_g3895	TNF(Tumour Necrosis Factor) family	-
file_1_file_1_g3896	Tumour necrosis factor family.	EDA
file_1_file_1_g3897	Tumour necrosis factor family.	EDA
file_1_file_1_g3898	-	-
file_1_file_1_g3899	May mediate accelerated ATP-independent bidirectional transbilayer migration of phospholipids upon binding calcium ions that results in a loss of phospholipid asymmetry in the plasma membrane	-
file_1_file_1_g3900	ankyrin repeats	ANKMY1
file_1_file_1_g3901	DNA photolyase	phr
file_1_file_1_g3902	Protein tyrosine serine threonine phosphatase activity. It is involved in the biological process described with protein dephosphorylation	PTP4A1
file_1_file_1_g3903	PI31 proteasome regulator N-terminal	PSMF1
file_1_file_1_g3904	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	KIF13B
file_1_file_1_g3905	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family	KIF13B
file_1_file_1_g3906	Kinesin motor domain	KIF13B
file_1_file_1_g3907	Dynein heavy chain, N-terminal region 2	-
file_1_file_1_g3908	Dynein beta chain, ciliary-like	-
file_1_file_1_g3909	Dynein beta chain, ciliary-like	-
file_1_file_1_g3910	It is involved in the biological process described with regulation of transcription, DNA-templated	-
file_1_file_1_g3911	It is involved in the biological process described with regulation of transcription, DNA-templated	-
file_1_file_1_g3912	Serine carboxypeptidase S28	-
file_2_134_g	Serine carboxypeptidase S28	-
file_1_file_1_g3913	Serine carboxypeptidase S28	-
file_1_file_1_g3914	beta-tubulin binding	IFT74
file_1_file_1_g3915	PPR repeat	-
file_1_file_1_g3916	Signal recognition particle receptor beta subunit	ARF6
file_1_file_1_g3917	-	-
file_1_file_1_g3918	fibrous sheath-interacting protein	FSIP2
file_1_file_1_g3922	Major Facilitator Superfamily	-
file_1_file_1_g3923	Major Facilitator Superfamily	-
file_1_file_1_g3924	Major Facilitator Superfamily	-
file_1_file_1_g3926	Trypsin-like serine protease	-
file_1_file_1_g3927	Trypsin-like serine protease	-
file_1_file_1_g3928	Trypsin-like serine protease	-
file_1_file_1_g3929	Trypsin-like serine protease	-
file_1_file_1_g3930	Trypsin-like serine protease	-
file_1_file_1_g3931	Potassium chloride symporter activity. It is involved in the biological process described with ion transport	-
file_1_file_1_g3932	regulation of mitochondrial mRNA stability	FASTKD3
file_1_file_1_g3933	Oxidoreductase family, NAD-binding Rossmann fold	DHDH
file_1_file_1_g3935	Aminotransferase class-III	OAT
file_1_file_1_g3937	Integrase core domain	-
file_1_file_1_g3939	-	-
file_1_file_1_g3941	NADH ubiquinone oxidoreductase subunit NDUFA12	-
file_1_file_1_g3942	PDZ domain	TAX1BP3
file_1_file_1_g3943	ETC complex I subunit conserved region	NDUFA5
file_1_file_1_g3944	Zinc finger, C3HC4 type (RING finger)	TOPORS
file_1_file_1_g3945	Protein tyrosine kinase	MAPK14
file_1_file_1_g3946	NADH:ubiquinone oxidoreductase, NDUFB6/B17 subunit	-
file_1_file_1_g3947	Ribosomal RNA adenine dimethylases	DIMT1
file_1_file_1_g3948	Importin-beta N-terminal domain	TNPO1
file_1_file_1_g3949	Doublesex DNA-binding motif	DMRT2
file_1_file_1_g3950	Belongs to the ATP-dependent DNA ligase family	LIG4
file_2_169_g	Belongs to the ATP-dependent DNA ligase family	LIG4
file_1_file_1_g3951	WD40 repeats	FBXW9
file_1_file_1_g3952	Serine aminopeptidase, S33	ABHD17B
file_1_file_1_g3953	Lipid-droplet associated hydrolase	-
file_1_file_1_g3954	-	-
file_1_file_1_g3955	-	-
file_1_file_1_g3957	Protein rolling stone-like	-
file_1_file_1_g3958	Protein rolling stone-like	-
file_1_file_1_g3959	Protein rolling stone-like	-
file_1_file_1_g3960	Protein rolling stone-like	-
file_1_file_2_181_g	-	-
file_1_file_1_g3961	-	-
file_1_file_1_g3962	Neuronal voltage-dependent calcium channel alpha 2acd	CACNA2D4
file_1_file_1_g3963	Neuronal voltage-dependent calcium channel alpha 2acd	CACNA2D4
file_1_file_1_g3964	PCRF	MTRF1
file_1_file_1_g3968	FORKHEAD	FOXB1
file_1_file_1_g3969	FORKHEAD	FOXB1
file_1_file_1_g3970	FORKHEAD	FOXB1
file_1_file_1_g3971	Electron transfer flavoprotein FAD-binding domain	ETFA
file_1_file_1_g3972	Hydrolyzes the sphingolipid ceramide into sphingosine and free fatty acid	ACER2
file_1_file_1_g3974	WD domain, G-beta repeat	PAAF1
file_1_file_1_g3975	PhoX homologous domain, present in p47phox and p40phox.	SNX17
file_1_file_1_g3976	Ubiquinol-cytochrome C reductase complex 14kD subunit	Uqcrb
file_1_file_1_g3977	It is involved in the biological process described with cellular protein modification process	LIPT1
file_1_file_1_g3978	Divergent CRAL/TRIO domain	GDAP2
file_1_file_1_g3979	Low-density lipoprotein receptor domain class A	-
file_1_file_1_g3980	Tyrosine kinase, catalytic domain	-
file_1_file_1_g3981	Leucine Rich repeats (2 copies)	-
file_1_file_1_g3982	-	-
file_1_file_1_g3983	DSHCT	SKIV2L2
file_1_file_1_g3984	Cache domain	CACNA2D4
file_1_file_1_g3987	Sterol-sensing domain of SREBP cleavage-activation	PTCH1
file_1_file_1_g3988	Domain Homologous to E6-AP Carboxyl Terminus with	UBE3C
file_1_file_1_g3989	AIG2-like family	GGCT
file_1_file_1_g3990	Furin-like cysteine rich region	InR
file_1_file_1_g3991	Survival motor neuron (SMN) interacting protein 1 (SIP1)	-
file_1_file_1_g3992	RQC	BLM
file_1_file_1_g3994	S1-like	MOV10L1
file_1_file_1_g3995	protein side chain deglutamylation	-
file_1_file_1_g3996	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)	-
file_1_file_1_g3997	protein side chain deglutamylation	-
file_1_file_1_g4000	-	-
file_1_file_1_g4001	-	-
file_1_file_1_g4004	-	-
file_1_file_1_g4006	Leucine Rich repeat	TCTE1
file_1_file_1_g4007	Neurotransmitter-gated ion-channel transmembrane region	CHRNA9
file_1_file_1_g4009	Zinc-finger associated domain (zf-AD)	-
file_1_file_1_g4010	Serine/Threonine protein kinases, catalytic domain	CDK10
file_1_file_1_g4011	N-terminal glutamine amidase	WDYHV1
file_1_file_1_g4013	HD domain	HDDC2
file_1_file_1_g4014	Lipase	-
file_1_file_1_g4016	Organic Anion Transporter Polypeptide (OATP) family	SLCO5A1
file_1_file_1_g4018	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	PPIF
file_1_file_1_g4019	tRNA (Guanine-1)-methyltransferase	TRMT10C
file_1_file_1_g4020	Transcription factor S-II (TFIIS), central domain	-
file_1_file_1_g4021	component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation	EIF3E
file_1_file_1_g4023	component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation	EIF3E
file_1_file_2_241_g	component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation	EIF3E
file_1_file_1_g4024	39S ribosomal protein L53/MRP-L53	mRpL53
file_1_file_1_g4025	Mid domain of argonaute	AGO1
file_1_file_1_g4026	Tumour protein D52 family	TPD52L2
file_1_file_1_g4027	nucleic acid binding	HIVEP1
file_1_file_1_g4028	Nucleoside diphosphate kinase	NME7
file_1_file_1_g4029	NDK	NME7
file_1_file_1_g4030	MFS_1 like family	-
file_1_file_1_g4031	-	-
file_1_file_1_g4032	-	-
file_1_file_1_g4033	Trypsin-like serine protease	TMPRSS15
file_1_file_1_g4034	-	-
file_1_file_1_g4035	Adenylate cyclase associated (CAP) C terminal	CAP1
file_1_file_1_g4036	-	-
file_1_file_1_g4037	activity. It is involved in the biological process described with	NAPRT
file_1_file_1_g4038	Zinc-finger associated domain (zf-AD)	-
file_1_file_1_g4039	Domain with 2 conserved Trp (W) residues	YAP1
file_1_file_1_g4040	Domain with 2 conserved Trp (W) residues	YAP1
file_1_file_1_g4041	Glycosyl hydrolase family 1	LCT
file_1_file_1_g4043	Cytochrome P450	-
file_1_file_1_g4044	Cytochrome P450	-
file_1_file_1_g4048	Cytochrome P450	-
file_1_file_1_g4049	Cytochrome P450	-
file_1_file_1_g4050	Cytochrome P450	-
file_1_file_1_g4051	Cytochrome P450	-
file_1_file_1_g4052	Glutaminase	GLS
file_1_file_1_g4053	Mitochondrial ribosomal protein MRP-S35	MRPS28
file_1_file_1_g4054	Smg-4/UPF3 family	UPF3B
file_1_file_1_g4055	Leucine rich repeat	-
file_1_file_1_g4056	CXC domain of E3 ubiquitin-protein ligase MSL2	MSL2
file_1_file_2_279_g	CXC domain of E3 ubiquitin-protein ligase MSL2	MSL2
file_1_file_1_g4058	-	-
file_1_file_1_g4059	Zona pellucida (ZP) domain	dyl
file_1_file_1_g4061	-	-
file_1_file_1_g4062	Endoribonuclease XendoU	-
file_1_file_1_g4063	5' nucleotidase family	NT5DC3
file_1_file_1_g4064	Poly(U)-specific	ENDOU
file_1_file_1_g4065	ATPase family associated with various cellular activities (AAA)	MCM8
file_1_file_1_g4066	Hydrolytic ATP binding site of dynein motor region D1	-
file_1_file_1_g4067	Domain present in PSD-95, Dlg, and ZO-1/2.	-
file_1_file_1_g4069	Domain present in PSD-95, Dlg, and ZO-1/2.	-
file_1_file_1_g4070	Thioredoxin-like [2Fe-2S] ferredoxin	NDUFV2
file_1_file_1_g4071	Respiratory-chain NADH dehydrogenase, 30 Kd subunit	NDUFS3
file_1_file_1_g4072	Membrane-anchoring subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)	SDHD
file_1_file_1_g4073	Sugar (and other) transporter	-
file_1_file_1_g4074	Belongs to the ligand-gated ion channel (TC 1.A.9) family	ort
file_1_file_1_g4077	Laminin G domain	-
file_1_file_1_g4078	Laminin G domain	-
file_1_file_1_g4080	MFS/sugar transport protein	MFSD12
file_1_file_1_g4081	DUF4208	CHD1
file_1_file_1_g4082	Laminin G domain	-
file_1_file_1_g4083	-	-
file_1_file_1_g4084	-	-
file_1_file_1_g4085	AMP-binding enzyme C-terminal domain	-
file_1_file_1_g4087	semaphorin domain	smp-2
file_1_file_1_g4088	DDE superfamily endonuclease	-
file_1_file_2_312_g	Protein of unknown function (DUF938)	-
file_1_file_1_g4089	Protein of unknown function (DUF938)	-
file_1_file_1_g4090	Type I phosphodiesterase / nucleotide pyrophosphatase	PIGN
file_1_file_1_g4091	-	-
file_1_file_1_g4092	GTPase-activator protein for Ras-like GTPases	IQGAP3
file_1_file_1_g4093	Calcineurin-like phosphoesterase	MPPE1
file_1_file_1_g4094	Wnt signaling pathway	NKD1
file_1_file_1_g4096	ribosomal large subunit biogenesis	HEATR3
file_1_file_1_g4097	-	-
file_1_file_1_g4098	WD domain, G-beta repeat	WDR65
file_1_file_1_g4099	3-oxo-5-alpha-steroid 4-dehydrogenase	TECR
file_1_file_1_g4100	Sequence-specific DNA binding. It is involved in the biological process described with	HSF1
file_1_file_1_g4101	Leucine Rich repeat	LRRC29
file_1_file_1_g4106	Zinc finger, C2H2 type	ZNF423
file_1_file_1_g4107	Trypsin-like serine protease	CLIPA3
file_1_file_1_g4108	c-Maf inducing protein	CMIP
file_1_file_1_g4109	Golgi phosphoprotein 3 (GPP34)	GOLPH3
file_1_file_1_g4110	AMP-binding enzyme	ACSBG1
file_1_file_1_g4111	Domain present in PSD-95, Dlg, and ZO-1/2.	-
file_1_file_1_g4112	Ring finger domain	-
file_1_file_1_g4113	peptidyl-proline hydroxylation to 3-hydroxy-L-proline	CRTAP
file_1_file_1_g4114	peptidyl-proline hydroxylation to 3-hydroxy-L-proline	CRTAP
file_1_file_1_g4115	Cilia and flagella associated protein 161	C15orf26
file_1_file_1_g4116	Cilia and flagella associated protein 161	C15orf26
file_1_file_1_g4117	FERM central domain	EPB41L4A
file_1_file_1_g4118	Domain present in PSD-95, Dlg, and ZO-1/2.	-
file_1_file_1_g4119	Domain present in PSD-95, Dlg, and ZO-1/2.	IL16
file_1_file_1_g4121	Domain present in PSD-95, Dlg, and ZO-1/2.	IL16
file_1_file_1_g4123	Neurotransmitter-gated ion-channel transmembrane region	CHRNA7
file_1_file_1_g4124	Neurotransmitter-gated ion-channel transmembrane region	nAChRb1
file_1_file_1_g4125	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	POLR2A
file_1_file_1_g4126	In Between Ring fingers	ARIH2
file_1_file_1_g4127	Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis	PFKL
file_1_file_1_g4129	-	-
file_1_file_1_g4130	-	-
file_1_file_1_g4132	Arsenite-resistance protein 2	SRRT
file_1_file_1_g4133	Low-density lipoprotein receptor domain class A	-
file_1_file_1_g4134	Calcineurin-like phosphoesterase	SMPD1
file_1_file_1_g4135	C2H2-type zinc finger	-
file_1_file_1_g4136	EGF-like domain	-
file_1_file_1_g4137	epithelial cell morphogenesis involved in placental branching	GRHL2
file_1_file_1_g4138	epithelial cell morphogenesis involved in placental branching	GRHL2
file_1_file_1_g4139	-	-
file_1_file_1_g4142	-	-
file_1_file_1_g4144	EF-1 guanine nucleotide exchange domain	EEF1D
file_1_file_1_g4145	Phosphotransferase enzyme family	CSNK2A2
file_1_file_1_g4146	PAS domain	ARNT
file_1_file_1_g4147	ADP-ribose polymerase	PARP16
file_1_file_1_g4148	carboxylic ester hydrolase activity	-
file_1_file_1_g4149	RNA recognition motif	SF3B6
file_1_file_1_g4150	OST-HTH/LOTUS domain	TDRD7
file_1_file_1_g4151	OST-HTH/LOTUS domain	TDRD7
file_1_file_1_g4152	RNA recognition motif	PABPC4
file_1_file_1_g4153	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	ABT1
file_1_file_1_g4154	Domain of unknown function (DUF4790)	-
file_1_file_1_g4155	Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane	-
file_1_file_1_g4157	7 transmembrane receptor (rhodopsin family)	-
file_1_file_1_g4159	EF-hand domain pair	CIB3
file_1_file_1_g4160	Ubiquitin-conjugating enzyme	UBE2N
file_1_file_1_g4161	protein localization to membrane	APBA1
file_1_file_1_g4162	KR domain	-
file_1_file_1_g4163	BLOC-1-related complex sub-unit 8	MEF2BNB
file_1_file_1_g4164	ATPase activity, coupled to transmembrane movement of substances	-
file_1_file_1_g4169	-	-
file_1_file_1_g4172	-	-
file_1_file_1_g4180	Organic Anion Transporter Polypeptide (OATP) family	-
file_1_file_2_406_g	Deoxynucleoside kinase	TK2
file_1_file_1_g4183	Deoxynucleoside kinase	TK2
file_1_file_1_g4184	Thioredoxin	PDIA6
file_1_file_1_g4185	-	-
file_1_file_1_g4186	Essential subunit of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser Thr consensus motif in nascent polypeptide chains	RPN1
file_1_file_1_g4187	GHMP kinases C terminal	GALK2
file_1_file_1_g4188	Zinc finger, C2H2 type	-
file_1_file_1_g4189	Acyl-CoA oxidase	ACOX2
file_1_file_1_g4190	Ribosomal protein L19e	RPL19
file_1_file_1_g4191	Acyl-coenzyme A oxidase N-terminal	ACOX2
file_1_file_1_g4192	Acyl-coenzyme A oxidase N-terminal	ACOX2
file_1_file_1_g4193	Acyl-coenzyme A oxidase N-terminal	ACOX2
file_1_file_1_g4194	Acyl-CoA oxidase	ACOX2
file_1_file_1_g4195	Lipase	-
file_1_file_1_g4196	-	-
file_1_file_1_g4197	-	-
file_1_file_1_g4198	BTB And C-terminal Kelch	KLHL5
file_1_file_1_g4199	TCP-1/cpn60 chaperonin family	CCT8
file_1_file_1_g4200	-	mycbp
file_1_file_1_g4201	ATP synthase delta (OSCP) subunit	ATP5O
file_1_file_1_g4202	Initiation factor eIF2 gamma, C terminal	eif2s3
file_1_file_1_g4203	Cullin protein neddylation domain	CUL5
file_1_file_1_g4204	-	-
file_1_file_1_g4205	basic region leucin zipper	CREBRF
file_1_file_1_g4206	Flavin containing amine oxidoreductase	PAOX
file_1_file_1_g4207	NUDIX domain	NUDT18
file_1_file_1_g4208	Eukaryotic membrane protein family	TAPT1
file_1_file_1_g4209	-	-
file_1_file_1_g4213	Phosphatidylethanolamine-binding protein	-
file_1_file_1_g4214	MIT domain of nuclear receptor-binding factor 2	-
file_1_file_1_g4215	negative regulation of TOR signaling	TMEM127
file_1_file_1_g4216	-	-
file_1_file_1_g4217	putative band 4.1 homologues' binding motif	SDC2
file_1_file_1_g4219	Partial alpha/beta-hydrolase lipase region	-
file_1_file_1_g4220	Mitochondrial ATPase inhibitor, IATP	-
file_1_file_1_g4221	ABC transporter	-
file_1_file_1_g4222	ABC transporter	bw
file_1_file_1_g4223	Rab subfamily of small GTPases	RAB32
file_1_file_1_g4224	Rab subfamily of small GTPases	RAB32
file_1_file_1_g4225	Mitochondrial carrier protein	SLC25A32
file_1_file_1_g4226	Insulinase (Peptidase family M16)	PMPCB
file_1_file_1_g4227	Sec34-like family	COG3
file_1_file_1_g4228	Sec34-like family	COG3
file_1_file_1_g4231	-	-
file_1_file_1_g4232	TSC22 domain family	TSC22D2
file_1_file_1_g4233	MFS_1 like family	-
file_1_file_1_g4234	Lipocalin-like domain	-
file_1_file_1_g4235	Lipocalin-like domain	-
file_1_file_1_g4236	Broad-Complex, Tramtrack and Bric a brac	ken
file_1_file_1_g4241	Ribonuclease H protein	-
file_1_file_1_g4242	WIF domain	-
file_1_file_1_g4243	Double-stranded RNA binding motif	STAU1
file_1_file_2_478_g	Copper type II ascorbate-dependent monooxygenase, N-terminal domain	Phm
file_1_file_1_g4244	Copper type II ascorbate-dependent monooxygenase, N-terminal domain	Phm
file_1_file_1_g4247	solute carrier family 22	-
file_1_file_1_g4248	Carboxylesterase family	-
file_1_file_1_g4249	Holliday junction regulator protein family C-terminal repeat	MEF2C
file_1_file_2_485_g	ionotropic glutamate receptor activity	-
file_1_file_1_g4250	ionotropic glutamate receptor activity	-
file_1_file_1_g4251	Polysaccharide deacetylase	Cda5
file_1_file_1_g4252	PAS domain	PASK
file_1_file_1_g4253	Prolyl oligopeptidase, N-terminal beta-propeller domain	PREP
file_1_file_1_g4255	Nucleoporin subcomplex protein binding to Pom34	NUP188
file_1_file_1_g4256	Adenylate kinase, active site lid	AK2
file_1_file_1_g4257	Guanine nucleotide exchange factor for Rho/Rac/Cdc42-like GTPases	cgef-1
file_1_file_1_g4258	guanine nucleotide exchange factor	MCF2L
file_1_file_1_g4259	-	-
file_1_file_1_g4261	glycogenin glucosyltransferase activity	GYG1
file_1_file_1_g4262	WIF domain	RYK
file_1_file_1_g4263	-	-
file_1_file_1_g4264	-	-
file_1_file_1_g4267	-	-
file_1_file_1_g4269	-	-
file_1_file_2_505_g	-	-
file_1_file_1_g4270	-	-
file_1_file_1_g4271	-	-
file_1_file_1_g4272	Mediator complex subunit 30	MED30
file_1_file_2_510_g	-	-
file_1_file_1_g4273	-	-
file_1_file_1_g4275	positive regulation of 3'-UTR-mediated mRNA stabilization	RBM38
file_1_file_1_g4276	Protein of unknown function (DUF3421)	-
file_1_file_1_g4277	Farnesoic acid 0-methyl transferase	-
file_1_file_1_g4278	Protein of unknown function (DUF3421)	-
file_1_file_1_g4279	Protein of unknown function (DUF3421)	-
file_1_file_1_g4280	Double-stranded RNA binding motif	STAU1
file_1_file_1_g4281	Phosphotyrosine interaction domain (PTB/PID)	SHC3
file_1_file_1_g4282	-	-
file_1_file_1_g4283	Pyruvate phosphate dikinase, PEP/pyruvate binding domain	-
file_1_file_1_g4284	Cleft lip and palate transmembrane protein 1 (CLPTM1)	CLPTM1L
file_1_file_1_g4285	-	-
file_1_file_1_g4287	N-terminal region of micro-spherule protein	MCRS1
file_1_file_1_g4288	Mitochondrial 28S ribosomal protein S32	-
file_1_file_1_g4289	Dual specificity phosphatase, catalytic domain	DUSP3
file_1_file_1_g4290	cellular component assembly	-
file_1_file_1_g4292	Phosphotyrosine interaction domain (PTB/PID)	SHC3
file_1_file_1_g4294	-	-
file_1_file_1_g4295	Thyroid hormone-inducible hepatic protein Spot 14	-
file_1_file_1_g4296	Protein of unknown function (DUF1759)	-
file_1_file_1_g4300	-	-
file_1_file_1_g4301	Ubiquitin-like oligomerisation domain of SATB	dve-1
file_1_file_1_g4302	Leucine Rich repeat	-
file_1_file_1_g4303	Leucine rich repeat N-terminal domain	-
file_1_file_1_g4304	Leucine rich repeat C-terminal domain	-
file_1_file_1_g4305	Leucine-rich repeats, typical (most populated) subfamily	Gp150
file_1_file_1_g4306	Iron-containing alcohol dehydrogenase	ADHFE1
file_1_file_1_g4307	ARF GTPase activator activity. It is involved in the biological process described with regulation of ARF GTPase activity	ASAP1
file_1_file_1_g4310	Biogenesis of lysosome-related organelles complex 1 subunit	-
file_1_file_1_g4311	Endoplasmic reticulum-based factor for assembly of V-ATPase	-
file_1_file_1_g4313	UBA domain	-
file_1_file_1_g4314	3' exoribonuclease family, domain 2	EXOSC7
file_1_file_1_g4315	Sodium:solute symporter family	-
file_1_file_1_g4316	Sodium:solute symporter family	-
file_1_file_1_g4317	Lipase	-
file_1_file_1_g4318	Lipase	-
file_1_file_1_g4320	Insect pheromone/odorant binding protein domains.	Obp56d
file_1_file_1_g4321	-	-
file_1_file_1_g4322	Mak10 subunit, NatC N(alpha)-terminal acetyltransferase	NAA35
file_1_file_1_g4323	Mak10 subunit, NatC N(alpha)-terminal acetyltransferase	NAA35
file_1_file_1_g4324	Domain of unknown function (DUF4773)	-
file_1_file_1_g4325	Domain of unknown function (DUF4773)	-
file_1_file_1_g4326	Domain of unknown function (DUF4773)	-
file_1_file_1_g4327	Domain of unknown function (DUF4773)	-
file_1_file_1_g4328	Lipase	-
file_1_file_1_g4329	Lipase	-
file_1_file_1_g4330	Lipase	-
file_1_file_1_g4331	Lipase	-
file_1_file_1_g4332	Lipase	-
file_1_file_1_g4334	Adenylyl cyclase N-terminal extracellular and transmembrane region	-
file_1_file_1_g4338	Leucine rich repeat C-terminal domain	LINGO1
